ID,newLocation,His_Score,Ile_Score,Leu_Score,Lys_Score,SAA_Score,AAA_Score,Thr_Score,Trp_Score,Val_Score,His_Lim,Ile_Lim,Leu_Lim,Lys_Lim,SAA_Lim,AAA_Lim,Thr_Lim,Trp_Lim,Val_Lim,Limiting_AA,Limiting_AA_Score,PDCAAS,newLocation,POP,entry,
Chim.104.FS1,Chimacum,1.4,1.284375,0.965151515,1.00877193,1.467857143,1.313461538,1.177419355,1.458823529,1.118604651,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.801075758,Chimacum,104,FS1,
Chim.0.Cherry Vanilla,Chimacum,1.305,1.221875,0.928787879,0.928070175,1.396428571,1.238461538,1.112903226,1.176470588,1.086046512,.,.,LIMITING,LIMITING,.,.,.,.,.,Lys_Score,5,0.770298246,Chimacum,Controls,Cherry Vanilla,
Chim.102.FS13,Chimacum,1.36,1.3,0.977272727,0.998245614,1.425,1.305769231,1.177419355,1.2,1.18372093,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.811136364,Chimacum,102,FS13,
Chim.104.FS2,Chimacum,1.28,1.278125,0.968181818,0.987719298,1.432142857,1.294230769,1.15483871,1.305882353,1.148837209,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.803590909,Chimacum,104,FS2,
Chim.104.FS20,Chimacum,1.29,1.2125,0.898484848,0.907017544,1.385714286,1.226923077,1.077419355,1.341176471,1.079069767,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.745742424,Chimacum,104,FS20,
Chim.0.Kaslaea,Chimacum,1.44,1.35,1.027272727,1.070175439,1.575,1.384615385,1.229032258,1.4,1.202325581,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.852636364,Chimacum,Controls,Kaslaea,
Chim.104.FS27,Chimacum,1.39,1.278125,0.93030303,0.975438596,1.489285714,1.251923077,1.132258065,1.2,1.104651163,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.772151515,Chimacum,104,FS27,
Chim.102.FS31,Chimacum,1.445,1.33125,0.998484848,1.043859649,1.521428571,1.344230769,1.219354839,1.423529412,1.158139535,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.828742424,Chimacum,102,FS31,
Chim.108.FS33,Chimacum,1.41,1.296875,0.98030303,1.033333333,1.482142857,1.323076923,1.177419355,1.364705882,1.137209302,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.813651515,Chimacum,108,FS33,
Chim.102.FS4,Chimacum,1.385,1.284375,0.971212121,0.957894737,1.414285714,1.278846154,1.148387097,1.305882353,1.123255814,.,.,LIMITING,LIMITING,.,.,.,.,.,Lys_Score,5,0.795052632,Chimacum,102,FS4,
Chim.108.FS34,Chimacum,1.345,1.246875,0.954545455,0.970175439,1.4,1.284615385,1.138709677,1.270588235,1.106976744,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.792272727,Chimacum,108,FS34,
Chim.108.FS39,Chimacum,1.22,1.16875,0.886363636,0.898245614,1.421428571,1.186538462,1.074193548,1.141176471,1.039534884,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.735681818,Chimacum,108,FS39,
Chim.0.CO407Dave,Chimacum,1.44,1.346875,1.021212121,1.103508772,1.571428571,1.4,1.24516129,1.482352941,1.190697674,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.847606061,Chimacum,Controls,CO407Dave,
Chim.105.FS43,Chimacum,1.38,1.31875,0.975757576,0.968421053,1.367857143,1.326923077,1.138709677,1.258823529,1.141860465,.,.,LIMITING,LIMITING,.,.,.,.,.,Lys_Score,5,0.803789474,Chimacum,105,FS43,
Chim.108.FS46,Chimacum,1.425,1.334375,0.983333333,1.014035088,1.460714286,1.317307692,1.148387097,1.364705882,1.179069767,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.816166667,Chimacum,108,FS46,
Chim.108.FS51,Chimacum,1.38,1.28125,0.965151515,1,1.464285714,1.303846154,1.135483871,1.376470588,1.130232558,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.801075758,Chimacum,108,FS51,
