ID,His_Score,Ile_Score,Leu_Score,Lys_Score,SAA_Score,AAA_Score,Thr_Score,Trp_Score,Val_Score,His_Lim,Ile_Lim,Leu_Lim,Lys_Lim,SAA_Lim,AAA_Lim,Thr_Lim,Trp_Lim,Val_Lim,Limiting_AA,Limiting_AA_Score,PDCAAS,newLocation,POP,entry,,,
Chim.104.FS1,1.555555556,1.325806452,1.011111111,1.105769231,1.580769231,1.484782609,1.351851852,1.675675676,1.145238095,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.839222222,Chimacum,104,FS1,,,
Chim.0.Cherry Vanilla,1.45,1.261290323,0.973015873,1.017307692,1.503846154,1.4,1.277777778,1.351351351,1.111904762,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.807603175,Chimacum,0,Cherry Vanilla,,,
Chim.102.FS13,1.511111111,1.341935484,1.023809524,1.094230769,1.534615385,1.476086957,1.351851852,1.378378378,1.211904762,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.849761905,Chimacum,102,FS13,,,
Chim.104.FS2,1.422222222,1.319354839,1.014285714,1.082692308,1.542307692,1.463043478,1.325925926,1.5,1.176190476,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.841857143,Chimacum,104,FS2,,,
Chim.104.FS20,1.433333333,1.251612903,0.941269841,0.994230769,1.492307692,1.386956522,1.237037037,1.540540541,1.104761905,.,.,LIMITING,LIMITING,.,.,.,.,.,Leu_Score,4,0.781253968,Chimacum,104,FS20,,,
Chim.0.Kaslaea,1.6,1.393548387,1.076190476,1.173076923,1.696153846,1.565217391,1.411111111,1.608108108,1.230952381,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.893238095,Chimacum,0,Kaslaea,,,
Chim.104.FS27,1.544444444,1.319354839,0.974603175,1.069230769,1.603846154,1.415217391,1.3,1.378378378,1.130952381,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.808920635,Chimacum,104,FS27,,,
Chim.102.FS31,1.605555556,1.374193548,1.046031746,1.144230769,1.638461538,1.519565217,1.4,1.635135135,1.185714286,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.868206349,Chimacum,102,FS31,,,
Chim.108.FS33,1.566666667,1.338709677,1.026984127,1.132692308,1.596153846,1.495652174,1.351851852,1.567567568,1.164285714,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.852396825,Chimacum,108,FS33,,,
Chim.102.FS4,1.538888889,1.325806452,1.017460317,1.05,1.523076923,1.445652174,1.318518519,1.5,1.15,.,.,.,.,.,.,.,.,.,Leu_Score,4,0.844492063,Chimacum,102,FS4,,,
Chim.108.FS34,1.494444444,1.287096774,1,1.063461538,1.507692308,1.452173913,1.307407407,1.459459459,1.133333333,.,.,LIMITING,.,.,.,.,.,.,Leu_Score,4,0.83,Chimacum,108,FS34,,,
