ESCL #,WSU ID,SAMPLE ID,YEAR,LOCATION,PLOT,ENTRY,POP,ID,Taurine ,Hydroxyproline,Aspartic Acid,Threonine,Serine,Glutamic Acid,Proline,Lanthionine ,Glycine,Alanine,Cysteine,Valine,Methionine,Isoleucine,Leucine,Tyrosine,Phenylalanine,Hydroxylysine,Ornithine ,Lysine,Histidine,Arginine,Tryptophan,SAA,AAA,Total AA,Total Essential AA,Total Nonessential AA,Crude protein,Moisture,Crude Fat,Crude Fiber,Ash,Crude Carbohydrates,newEntry,locEntry,newLocation,LeuRank,LeuLocRank
3538,6,2016_Chim_28,2016,Chim,28,Kaslaea,0,Chim.0.Kaslaea,1.69,0.42,8.56,3.81,3.81,14.58,4.15,0,5.76,4.58,1.95,5.17,2.46,4.32,6.78,2.97,4.24,0.08,0.08,6.1,2.88,8.39,1.19,4.41,7.2,93.97,36.95,57.02,11.8,7.11,5.77,2.15,3.17,70,Kaslaea,Kaslaea.Chim,Chimacum,2,1
3549,17,2016_Chim_62,2016,Chim,62,WWA15FS52,102,Chim.102.FS52,1.67,0.53,8.72,3.88,4.05,14.19,4.32,0,5.9,4.67,1.94,5.2,2.29,4.41,6.78,2.91,4.23,0.18,0.09,6.08,2.91,8.19,1.41,4.23,7.14,94.55,37.19,57.36,11.35,7.01,6.01,2.38,2.97,70.28,FS52,FS52.Chim,Chimacum,3,2
3545,13,2016_Chim_48,2016,Chim,48,CO407Dave,0,Chim.0.CO407Dave,1.71,0.54,8.72,3.86,4.04,14.38,4.4,0,6.11,4.67,1.98,5.12,2.43,4.31,6.74,3.05,4.22,0.09,0.09,6.29,2.88,8.36,1.26,4.4,7.28,95.25,37.11,58.14,11.13,7.14,5.9,2.14,3.01,70.68,CO407Dave,CO407Dave.Chim,Chimacum,4,3
3540,8,2016_Chim_37,2016,Chim,37,WWA15FS31,102,Chim.102.FS31,1.53,0.4,8.36,3.78,3.86,13.91,4.02,0,5.63,4.5,1.93,4.98,2.33,4.26,6.59,2.89,4.1,0.16,0.08,5.95,2.89,8.28,1.21,4.26,6.99,91.64,36.09,55.55,12.44,7.07,5.77,2.16,2.93,69.63,FS31,FS31.Chim,Chimacum,10,4
3552,20,2016_Chim_79,2016,Chim,79,WWA15FS67,107,Chim.107.FS67,1.49,0.41,8.37,3.65,3.98,14.18,4.23,0,5.64,4.48,1.82,5.06,2.24,4.23,6.55,2.99,4.15,0.17,0.08,5.72,2.82,8.04,1.08,4.06,7.13,91.38,35.5,55.88,12.06,6.93,6.14,2.16,3.32,69.39,FS67,FS67.Chim,Chimacum,12,5
3554,22,2016_Chim_87,2016,Chim,87,WWA15FS73,104,Chim.104.FS73,1.61,0.27,8.25,3.77,3.95,14.35,4.3,0,5.83,4.57,1.88,4.93,2.24,4.13,6.55,2.69,4.04,0.09,0.09,6.01,2.87,8.16,1.26,4.13,6.73,91.84,35.8,56.04,11.15,7.05,5.1,1.98,2.97,71.75,FS73,FS73.Chim,Chimacum,13,6
3547,15,2016_Chim_55,2016,Chim,55,WWA15FS46,108,Chim.108.FS46,1.69,0.36,8.27,3.56,3.74,14.15,4.27,0,5.69,4.45,1.87,5.07,2.22,4.27,6.49,2.76,4.09,0.27,0.09,5.78,2.85,8.01,1.16,4.09,6.85,91.11,35.49,55.62,11.24,7.14,5.65,2.13,3.08,70.76,FS46,FS46.Chim,Chimacum,16,7
3541,9,2016_Chim_39,2016,Chim,39,WWA15FS33,108,Chim.108.FS33,1.66,0.5,8.29,3.65,3.9,13.68,4.15,0,5.72,4.39,1.91,4.89,2.24,4.15,6.47,2.82,4.06,0.17,0.08,5.89,2.82,8.13,1.16,4.15,6.88,90.73,35.33,55.4,12.06,6.94,5.92,2.32,2.98,69.78,FS33,FS33.Chim,Chimacum,20,8
3535,3,2016_Chim_15,2016,Chim,15,WWA15FS13,102,Chim.102.FS13,1.7,0.59,8.15,3.65,3.74,13.24,4.07,0,5.52,4.5,1.78,5.09,2.21,4.16,6.45,2.8,3.99,0.25,0.08,5.69,2.72,7.56,1.02,3.99,6.79,88.96,34.98,53.98,11.78,7.12,5.42,3.41,3.06,69.21,FS13,FS13.Chim,Chimacum,24,9
3546,14,2016_Chim_52,2016,Chim,52,WWA15FS43,105,Chim.105.FS43,1.38,0.23,8.28,3.53,3.76,13.5,3.99,0,5.67,4.37,1.76,4.91,2.07,4.22,6.44,2.84,4.06,0.15,0.08,5.52,2.76,8.05,1.07,3.83,6.9,88.64,34.58,54.06,13.04,7.16,5.3,2.12,3.12,69.26,FS43,FS43.Chim,Chimacum,25,10
